"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_1041c6","AarSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p"
"Running","AdobeARMservice","Adobe Acrobat Update Service","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"""
"Running","AdobeUpdateService","AdobeUpdateService","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe"""
"Running","AGMService","Adobe Genuine Monitor Service","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe"""
"Running","AGSService","Adobe Genuine Software Integrity Service","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe"""
"Stopped","AJRouter","AllJoyn Router Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","ALG","Application Layer Gateway Service","C:\WINDOWS\System32\alg.exe"
"Stopped","AppIDSvc","Application Identity","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","Appinfo","Application Information","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","Apple Mobile Device Service","Apple Mobile Device Service","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe"""
"Running","AppMgmt","Application Management","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","AppReadiness","App Readiness","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p"
"Stopped","AppVClient","Microsoft App-V Client","C:\WINDOWS\system32\AppVClient.exe"
"Stopped","AppXSvc","AppX Deployment Service (AppXSVC)","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"Running","asComSvc","ASUS Com Service","""C:\Program Files (x86)\ASUS\AXSP\4.00.38\atkexComSvc.exe"""
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc"
"Running","AsSysCtrlService","ASUS System Control Service","C:\Program Files (x86)\ASUS\AsSysCtrlService\1.00.22\AsSysCtrlService.exe"
"Running","AsusUpdateCheck","AsusUpdateCheck","C:\WINDOWS\System32\AsusUpdateCheck.exe"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","Audiosrv","Windows Audio","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","autotimesvc","Cellular Time","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup"
