"ProcessName","Id","Path"
"AdobeIPCBroker","3800","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"
"AdobeNotificationClient","30652","C:\Program Files\WindowsApps\AdobeNotificationClient_2.0.1.8_x86__enpm4xejd91yc\AdobeNotificationClient.exe"
"AdobeUpdateService","5296","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe"
"AggregatorHost","8064","C:\WINDOWS\System32\AggregatorHost.exe"
"AGMService","5592","C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe"
"AGSService","5600","C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe"
"AppleMobileDeviceService","5008","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe"
"ApplicationFrameHost","12476","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"armsvc","4620","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
"AsSysCtrlService","5532","C:\Program Files (x86)\ASUS\AsSysCtrlService\1.00.22\AsSysCtrlService.exe"
"AsusUpdateCheck","4940","C:\WINDOWS\System32\AsusUpdateCheck.exe"
"athenascope","11164","C:\Users\trini\AppData\Roaming\Athenascope\bin\64bit\athenascope.exe"
"atkexComSvc","5280","C:\Program Files (x86)\ASUS\AXSP\4.00.38\atkexComSvc.exe"
"audiodg","2236","C:\WINDOWS\system32\AUDIODG.EXE"
"backgroundTaskHost","12648","C:\WINDOWS\system32\backgroundTaskHost.exe"
"backgroundTaskHost","25960","C:\WINDOWS\system32\backgroundTaskHost.exe"
"backgroundTaskHost","27916","C:\WINDOWS\system32\backgroundTaskHost.exe"
"backgroundTaskHost","29924","C:\WINDOWS\system32\backgroundTaskHost.exe"
"CCLibrary","26108","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe"
"CCXProcess","19104","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"
"CefSharp.BrowserSubprocess","3648","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\CefSharp.BrowserSubprocess.exe"
"CefSharp.BrowserSubprocess","18796","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe"
"CefSharp.BrowserSubprocess","22380","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe"
"CefSharp.BrowserSubprocess","26356","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\CefSharp.BrowserSubprocess.exe"
"chrome","5528","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","5716","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","11492","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","13288","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","15620","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","23664","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","29800","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","34684","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","35260","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","35992","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","36140","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","36968","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"cmd","6056","C:\WINDOWS\system32\cmd.exe"
"Code","10952","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","14452","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","15356","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","21316","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","27740","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","29192","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","30320","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","33936","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","34236","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","36636","C:\Users\trini\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"conhost","6128","C:\WINDOWS\system32\conhost.exe"
"conhost","6944","C:\WINDOWS\system32\conhost.exe"
"conhost","7560","C:\WINDOWS\system32\conhost.exe"
"conhost","11968","C:\WINDOWS\system32\conhost.exe"
"conhost","18152","C:\WINDOWS\system32\conhost.exe"
"conhost","28320","C:\WINDOWS\system32\conhost.exe"
"conhost","29664","C:\WINDOWS\system32\conhost.exe"
"conhost","33140","C:\WINDOWS\system32\conhost.exe"
"conhost","34436","C:\WINDOWS\system32\conhost.exe"
"csrss","900",
"csrss","972",
"ctfmon","10516","C:\WINDOWS\system32\ctfmon.exe"
"DataExchangeHost","38576","C:\Windows\System32\DataExchangeHost.exe"
"Discord","1812","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"Discord","13240","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"Discord","21800","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"Discord","34228","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"Discord","35836","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"Discord","37520","C:\Users\trini\AppData\Local\Discord\app-1.0.9004\Discord.exe"
"dllhost","16044","C:\WINDOWS\system32\DllHost.exe"
"dwm","1508","C:\WINDOWS\system32\dwm.exe"
"explorer","9608","C:\WINDOWS\explorer.exe"
"fontdrvhost","1244","C:\WINDOWS\system32\fontdrvhost.exe"
"fontdrvhost","1316","C:\WINDOWS\system32\fontdrvhost.exe"
"GameManagerService","5400","C:\Program Files (x86)\Razer\Razer Services\GMS\GameManagerService.exe"
"gamingservices","20836","C:\Program Files\WindowsApps\Microsoft.GamingServices_3.63.22003.0_x64__8wekyb3d8bbwe\GamingServices.exe"
"gamingservicesnet","37604","C:\Program Files\WindowsApps\Microsoft.GamingServices_3.63.22003.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"
"GoogleCrashHandler","11348","C:\Program Files (x86)\Google\Update\1.3.36.122\GoogleCrashHandler.exe"
"GoogleCrashHandler64","13028","C:\Program Files (x86)\Google\Update\1.3.36.122\GoogleCrashHandler64.exe"
"hasplms","4352","C:\Program Files (x86)\Common Files\Aladdin Shared\HASP\hasplms.exe"
"hasplmv","9660","C:\Program Files (x86)\Common Files\Aladdin Shared\HASP\hasplmv.exe"
"Idle","0",
"IpOverUsbSvc","5240","C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe"
"lghub","15968","C:\Program Files\LGHUB\lghub.exe"
"lghub","20800","C:\Program Files\LGHUB\lghub.exe"
"lghub","31900","C:\Program Files\LGHUB\lghub.exe"
"lghub_agent","32076","C:\Program Files\LGHUB\lghub_agent.exe"
"lghub_updater","16424","C:\Program Files\LGHUB\lghub_updater.exe"
"LockApp","35116","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"LsaIso","1036",
"lsass","1044","C:\WINDOWS\system32\lsass.exe"
"Memory Compression","3232",
"Microsoft.Photos","21340","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21120.8011.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"
"MpCopyAccelerator","1440",
"msedgewebview2","4244","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"msedgewebview2","5896","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"msedgewebview2","11952","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"msedgewebview2","16288","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"msedgewebview2","16608","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"msedgewebview2","21868","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\99.0.1150.46\msedgewebview2.exe"
"MsMpEng","6024",
"NisSrv","11184",
"node","7068","C:\Program Files\nodejs\node.exe"
"node","7512","C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"
"node","31236","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe"
"nssm_64","5272","C:\ProgramData\TileServer\nssm_64.exe"
"NvBroadcast.Container","5372","C:\Program Files\NVIDIA Corporation\NvBroadcast.NvContainer\NvBroadcast.Container.exe"
"NvBroadcast.Container","6644","C:\Program Files\NVIDIA Corporation\NvBroadcast.NvContainer\NvBroadcast.Container.exe"
"nvcontainer","5380","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"nvcontainer","10592","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"nvcontainer","11192","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"NVDisplay.Container","2728","C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_3b12ac0f95b18b9d\Display.NvContainer\NVDisplay.Container.exe"
"NVDisplay.Container","3728","C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_3b12ac0f95b18b9d\Display.NvContainer\NVDisplay.Container.exe"
"NVIDIA Broadcast","9260","C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NvVirtualCamera\NVIDIA Broadcast.exe"
"NVIDIA Broadcast UI","10848","C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NVIDIA Broadcast UI.exe"
"NVIDIA Share","9420","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"
"NVIDIA Share","32072","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"
"NVIDIA Share","33844","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"
"NVIDIA Web Helper","13300","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe"
"nvsphelper64","13536","C:\Program Files\NVIDIA Corporation\ShadowPlay\nvsphelper64.exe"
"openvpnserv","5112","C:\Program Files\OpenVPN\bin\openvpnserv.exe"
"opera","6492","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","8572","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","11912","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","15872","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","16860","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","16888","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","18972","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","21080","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","22244","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","22748","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","24124","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","24996","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","26884","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","29072","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","29256","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","32568","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","32620","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera","34940","C:\Users\trini\AppData\Local\Programs\Opera GX\opera.exe"
"opera_crashreporter","10940","C:\Users\trini\AppData\Local\Programs\Opera GX\84.0.4316.43\opera_crashreporter.exe"
"OriginWebHelperService","5640","C:\Program Files (x86)\Origin\OriginWebHelperService.exe"
"OVRRedir","28484","C:\Program Files\Oculus\Support\oculus-runtime\OVRRedir.exe"
"OVRServer_x64","28364","C:\Program Files\Oculus\Support\oculus-runtime\OVRServer_x64.exe"
"OVRServiceLauncher","2700","C:\Program Files\Oculus\Support\oculus-runtime\OVRServiceLauncher.exe"
"pageant","7464","C:\Program Files\PuTTY\pageant.exe"
"parsecd","13496","C:\Program Files\Parsec\parsecd.exe"
"PnkBstrA","4048","C:\WINDOWS\system32\PnkBstrA.exe"
"pservice","5356","C:\Program Files\Parsec\pservice.exe"
"pwsh","37904","C:\Program Files\PowerShell\7\pwsh.exe"
"Razer Central","18496","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe"
"Razer Synapse 3","31332","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe"
"Razer Synapse Service","7056","C:\Program Files (x86)\Razer\Synapse3\Service\Razer Synapse Service.exe"
"Razer Synapse Service Process","23412","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe"
"RazerCentralService","5324","C:\Program Files (x86)\Razer\Razer Services\Razer Central\RazerCentralService.exe"
"Recorder","25044","C:\Program Files\Panopto\Recorder\Recorder.exe"
"Registry","248",
"remoting_host","5200","C:\Program Files (x86)\Google\Chrome Remote Desktop\99.0.4844.11\remoting_host.exe"
